City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Belyy Yar,0,RU,1586651646,85,53.6,91.39,23.0,2.24
Busselton,84,AU,1586651646,65,-33.65,115.33,72.0,9.33
Ushuaia,40,AR,1586651646,75,-54.8,-68.3,41.0,17.22
Kaitangata,96,NZ,1586651646,84,-46.28,169.85,55.0,3.0
Gumdag,0,TM,1586651646,60,39.21,54.59,53.58,4.94
Eastbourne,15,GB,1586651624,93,50.77,0.28,53.01,4.7
Mount Gambier,90,AU,1586651647,62,-37.83,140.77,55.4,6.93
Butaritari,88,KI,1586651647,74,3.07,172.79,84.04,10.36
Qaanaaq,88,GL,1586651647,72,77.48,-69.36,11.8,3.24
Peleduy,65,RU,1586651379,87,59.63,112.74,31.71,4.21
Rikitea,62,PF,1586651648,75,-23.12,-134.97,78.12,5.64
Chokurdakh,99,RU,1586651648,98,70.63,147.92,29.12,13.47
Barrow,90,US,1586651489,85,71.29,-156.79,24.8,14.99
Ponta do Sol,40,PT,1586651457,67,32.67,-17.1,62.6,10.29
Kapaa,90,US,1586651648,83,22.08,-159.32,78.8,10.29
Saint-Pierre,20,RE,1586651648,73,-21.34,55.48,75.2,4.7
Cayenne,90,GF,1586651648,74,4.93,-52.33,80.6,4.7
College,75,US,1586651648,38,64.86,-147.8,46.4,2.75
Rovaniemi,48,FI,1586651408,85,66.5,25.72,23.0,8.05
Paamiut,100,GL,1586651648,73,61.99,-49.67,39.69,10.78
Seymchan,90,RU,1586651585,92,62.88,152.43,25.36,2.98
Coquimbo,82,CL,1586651649,87,-29.95,-71.34,59.0,10.29
Tiksi,66,RU,1586651649,91,71.69,128.87,8.04,18.25
Homer,75,US,1586651561,30,59.64,-151.55,44.6,9.17
Albany,20,US,1586651649,30,42.6,-73.97,44.6,12.75
Sīta Road,35,PK,1586651649,24,27.03,67.85,84.31,4.47
Arrondissement de Vierzon,2,FR,1586651649,100,47.21,2.06,57.0,1.81
Cidreira,4,BR,1586651649,70,-30.18,-50.21,65.75,5.32
New Norfolk,75,AU,1586651649,54,-42.78,147.06,57.2,18.34
Dudinka,75,RU,1586651649,98,69.41,86.18,33.8,31.32
Bethel,1,US,1586651640,31,41.37,-73.41,52.0,5.82
Turiaçu,100,BR,1586651650,92,-1.66,-45.37,78.31,3.58
Basco,96,PH,1586651650,78,20.45,121.97,77.54,20.24
Hermanus,100,ZA,1586651475,93,-34.42,19.23,63.0,18.01
Airai,96,TL,1586651650,69,-8.93,125.41,65.73,1.97
Le Port,24,RE,1586651650,83,-20.94,55.29,75.2,13.87
Arraial do Cabo,99,BR,1586651650,73,-22.97,-42.03,73.24,4.52
Avarua,98,CK,1586651650,83,-21.21,-159.78,84.2,5.82
Soni,100,TZ,1586651650,80,-4.85,38.37,62.85,2.91
Atuona,48,PF,1586651651,66,-9.8,-139.03,82.89,5.77
Novovarshavka,38,RU,1586651651,69,54.17,74.69,41.72,5.79
Caravelas,37,BR,1586651651,86,-17.71,-39.25,78.49,9.73
Witu,90,KE,1586651651,86,-2.39,40.44,79.16,8.34
Görele,40,TR,1586651651,81,41.03,39.0,48.2,8.1
Burnie,45,AU,1586651652,64,-41.07,145.92,60.01,11.01
Mar del Plata,69,AR,1586651652,82,-38.0,-57.56,61.0,6.42
Sheltozero,0,RU,1586651652,92,61.37,35.37,30.42,6.8
San Policarpo,95,PH,1586651652,73,12.18,125.51,80.89,3.27
Quatre Cocos,75,MU,1586651653,83,-20.21,57.76,78.01,5.82
Howard Springs,87,AU,1586651653,78,-12.5,131.05,82.0,10.29
Necochea,93,AR,1586651450,75,-38.55,-58.74,60.01,5.99
Kungurtug,100,RU,1586651653,54,50.6,97.52,37.69,0.54
Mataura,93,NZ,1586651654,51,-46.19,168.86,69.01,5.99
Nouadhibou,0,MR,1586651433,68,20.93,-17.03,68.0,20.8
Flin Flon,90,CA,1586651412,48,54.77,-101.86,21.2,13.87
Suntar,67,RU,1586651654,89,62.14,117.63,32.45,10.51
Orlik,98,RU,1586651655,60,52.52,99.83,26.64,2.19
Cabo San Lucas,40,MX,1586651384,56,22.89,-109.91,75.0,16.11
Ancud,20,CL,1586651655,93,-41.87,-73.82,41.0,2.24
Hobart,75,AU,1586651398,54,-42.88,147.33,57.2,18.34
Puerto Ayora,75,EC,1586651655,74,-0.74,-90.35,82.4,11.41
Leningradskiy,91,RU,1586651655,86,69.38,178.42,17.11,2.91
Pundaguitan,34,PH,1586651655,77,6.37,126.17,81.01,8.37
Bredasdorp,100,ZA,1586651655,60,-34.53,20.04,68.0,20.8
San Patricio,40,MX,1586651656,74,19.22,-104.7,82.4,16.26
Severo-Kuril'sk,63,RU,1586651656,93,50.68,156.12,30.7,8.39
Dikson,100,RU,1586651656,96,73.51,80.55,14.09,13.71
Altamira,47,BR,1586651602,92,-3.2,-52.21,75.36,1.59
Sørland,100,NO,1586651656,80,67.67,12.69,34.68,15.35
Jamestown,1,US,1586651656,48,42.1,-79.24,42.8,3.36
Punta Arenas,40,CL,1586651656,75,-53.15,-70.92,42.8,6.93
Kuril'sk,91,RU,1586651662,93,45.23,147.88,27.97,9.64
Jiuquan,100,CN,1586651663,24,39.74,98.52,45.18,1.95
Bluff,82,NZ,1586651663,51,-46.6,168.33,69.01,5.99
Goderich,19,CA,1586651663,56,43.75,-81.72,50.0,8.1
Itarema,100,BR,1586651663,86,-2.92,-39.92,79.23,5.5
Port Alfred,80,ZA,1586651663,86,-33.59,26.89,64.99,3.0
Bambanglipuro,77,ID,1586651663,76,-7.95,110.28,79.79,2.39
Beringovskiy,95,RU,1586651663,94,63.05,179.32,14.23,10.51
Ukiah,57,US,1586651663,75,39.15,-123.21,69.01,5.01
Bathsheba,75,BB,1586651664,69,13.22,-59.52,80.6,14.99
Clyde River,1,CA,1586651576,84,70.47,-68.59,3.2,13.87
